@RELATION blinking

@ATTRIBUTE frames_since_experiment_started NUMERIC
@ATTRIBUTE frames_since_the_last_blink NUMERIC
@ATTRIBUTE is_blink NUMERIC
@ATTRIBUTE attention_level {True, False}
@DATA
16881,24380,0,True
16911,24410,0,True
16942,24441,0,True
16972,9429,0,True
17002,26431,0,True
17033,26462,0,True
17063,26492,0,True
17093,26522,0,True
17124,26553,0,True
17154,26583,0,True
17184,26613,0,True
17214,26643,0,False
17245,26674,0,False
17275,26704,0,False
17305,7828,1,False
17336,25164,0,False
17366,25194,0,True
17396,25224,0,True
17427,9605,1,True
17457,27062,0,True
17487,27092,0,True
17517,27122,0,True
17548,27153,0,True
17578,27183,0,True
17608,27213,0,True
17639,27244,0,False
17669,9605,0,True
17699,27304,0,True
17730,27335,0,True
17760,27365,0,True
17790,8176,1,True
17820,9635,1,True
17851,8217,1,True
17881,26098,0,True
17911,9701,1,True
17942,27643,0,False
17972,27673,0,False
18002,27703,0,False
18033,27734,0,False
18063,27764,0,False
18093,27794,0,True
18124,27825,0,True
18154,27855,0,False
18184,9701,0,False
18214,8508,1,False
18245,26753,0,True
18275,26783,0,True
18305,26813,0,True
18336,9825,1,True
18366,28191,0,True
18396,28221,0,True
18427,28252,0,False
18457,28282,0,False
18487,28312,0,False
18517,28342,0,True
18548,28373,0,True
18578,28403,0,True
18608,8764,1,True
18639,27403,0,False
18669,27433,0,False
18699,27463,0,False
18730,27494,0,True
18760,27524,0,True
18790,27554,0,True
18820,8877,1,True
18851,27728,0,True
18881,10004,1,True
18911,28915,0,True
18942,28946,0,False
18972,28976,0,False
19002,29006,0,False
19033,29037,0,True
19063,29067,0,False
19093,29097,0,False
19124,29128,0,False
19154,29158,0,False
19184,29188,0,True
19214,29218,0,True
19245,29249,0,True
19275,10253,1,True
19305,29558,0,True
19336,29589,0,True
19366,29619,0,True
19396,10272,1,True
19427,9147,1,True
19457,28604,0,True
19487,28634,0,False
19517,28664,0,False
19548,28695,0,False
19578,28725,0,False
19608,28755,0,False
19639,28786,0,False
19669,28816,0,False
19699,28846,0,False
19730,28877,0,False
19760,28907,0,False
19790,28937,0,False
19820,28967,0,False
19851,28998,0,False
19881,29028,0,True
19911,29058,0,False
19942,29089,0,False
19972,29119,0,False
20002,29149,0,False
20033,29180,0,False
20063,29210,0,False
20093,29240,0,False
20124,9204,1,False
20154,29358,0,False
20184,29388,0,False
20214,29418,0,False
20245,29449,0,False
20275,29479,0,False
20305,29509,0,False
20336,29540,0,False
20366,9345,1,True
20396,29741,0,False
20427,29772,0,False
20457,29802,0,False
20487,29832,0,False
20517,29862,0,False
20548,29893,0,False
20578,29923,0,False
20608,29953,0,False
20639,29984,0,False
20669,30014,0,False
20699,30044,0,False
20730,9630,1,False
20760,30390,0,False
20790,30420,0,False
20820,30450,0,False
20851,30481,0,False
20881,30511,0,False
20911,30541,0,False
20942,30572,0,False
20972,30602,0,False
21002,30632,0,False
21033,30663,0,False
21063,30693,0,False
21093,9884,1,False
21123,31007,0,False
21154,31038,0,False
21184,31068,0,False
21214,9884,0,False
21245,11354,1,False
21275,32629,0,False
21305,32659,0,False
21336,32690,0,False
21366,11354,0,False
21396,32750,0,False
21427,32781,0,False
21457,32811,0,False
21487,32841,0,False
21517,32871,0,False
21548,32902,0,False
21578,32932,0,True
21608,32962,0,False
21639,32993,0,False
21669,11471,0,False
21699,33170,0,False
21730,33201,0,False
21760,33231,0,False
21790,33261,0,False
21820,33291,0,True
21851,33322,0,True
21881,33352,0,True
21911,33382,0,True
21942,11698,1,False
21972,33670,0,False
22002,33700,0,False
22033,33731,0,False
22063,33761,0,False
22093,33791,0,False
22123,11698,0,False
22154,33852,0,False
22184,33882,0,False
22214,33912,0,False
22245,33943,0,True
22275,33973,0,True
22305,11873,1,True
22336,34209,0,True
22366,34239,0,True
22396,34269,0,True
22427,34300,0,False
22457,34330,0,False
22487,11873,0,False
22517,34390,0,False
22548,34421,0,False
22578,34451,0,False
22608,34481,0,False
22639,34512,0,False
22669,34542,0,False
22699,34572,0,False
22730,12107,1,False
22760,34867,0,False
22790,34897,0,False
22820,34927,0,True
22851,34958,0,True
22881,34988,0,True
22911,10808,1,True
22942,33750,0,True
22972,33780,0,True
23002,12190,1,True
23033,35223,0,True
23063,35253,0,True
23093,35283,0,True
23123,35313,0,True
23154,35344,0,True
23184,35374,0,True
23214,10915,0,True
23245,34160,0,True
23275,34190,0,True
23305,34220,0,True
23336,34251,0,True
23366,34281,0,True
23396,34311,0,True
23427,34342,0,False
23457,34372,0,False
23487,34402,0,False
23517,34432,0,False
23548,34463,0,False
23578,34493,0,False
23608,34523,0,False
23639,34554,0,False
23669,34584,0,False
23699,34614,0,False
23730,34645,0,False
23760,34675,0,True
23790,34705,0,True
23820,34735,0,True
23851,11410,0,True
23881,35291,0,True
23911,35321,0,True
23942,35352,0,True
23972,35382,0,True
24002,35412,0,False
24033,12630,1,False
24063,11426,1,False
24093,12665,1,False
24123,36788,0,False
24154,36819,0,False
24184,36849,0,False
24214,36879,0,False
24245,36910,0,False
24275,36940,0,False
24305,36970,0,False
24336,11672,1,False
24366,36038,0,True
24396,36068,0,True
24427,36099,0,True
24457,36129,0,True
24487,36159,0,True
24517,36189,0,True
24548,36220,0,True
24578,36250,0,False
